id,yearName,winner,loser,gameRecord,mvp
0,1903,16,10,5-3,
1,1904,-1,-1,-1,
2,1905,12,25,4-1,
3,1906,17,2,4-2,
4,1907,2,19,4-0,
5,1908,2,19,4-1,
6,1909,10,19,4-3,
7,1910,25,2,4-1,
8,1911,25,12,4-2,
9,1912,16,12,4-3,
10,1913,25,12,4-1,
11,1914,1,25,4-0,
12,1915,16,9,4-1,
13,1916,16,5,4-1,
14,1917,17,12,4-2,
15,1918,16,2,4-2,
16,1919,3,17,5-3,
17,1920,18,5,5-2,
18,1921,12,24,5-3,
19,1922,12,24,4-0,
20,1923,24,12,4-2,
21,1924,23,12,4-3,
22,1925,10,23,4-3,
23,1926,13,24,4-3,
24,1927,24,10,4-0,
25,1928,24,13,4-0,
26,1929,25,2,4-1,
27,1930,25,13,4-2,
28,1931,13,25,4-3,
29,1932,24,2,4-0,
30,1933,12,23,4-1,
31,1934,13,19,4-3,
32,1935,19,2,4-2,
33,1936,24,12,4-2,
34,1937,24,12,4-1,
35,1938,24,2,4-0,
36,1939,24,3,4-0,
37,1940,3,19,4-3,
38,1941,24,5,4-1,
39,1942,13,24,4-1,
40,1943,24,13,4-1,
41,1944,13,15,4-2,
42,1945,19,2,4-3,
43,1946,13,16,4-3,
44,1947,24,5,4-3,
45,1948,18,1,4-2,
46,1949,24,5,4-1,
47,1950,24,9,4-0,
48,1951,24,12,4-2,
49,1952,24,5,4-3,
50,1953,24,5,4-2,
51,1954,12,18,4-0,
52,1955,5,24,4-3,Johnny Podres
53,1956,24,5,4-3,Don Larsen
54,1957,1,24,4-3,Lew Burdette
55,1958,24,1,4-3,Bob Turley
56,1959,5,17,4-2,Larry Sherry
57,1960,10,24,4-3,Bobby Richardson
58,1961,24,3,4-1,Whitey Ford
59,1962,24,12,4-3,Ralph Terry
60,1963,5,24,4-0,Sandy Koufax
61,1964,13,24,4-3,Bob Gibson
62,1965,5,23,4-3,Sandy Koufax
63,1966,15,5,4-0,Frank Robinson
64,1967,13,16,4-3,Bob Gibson
65,1968,19,13,4-3,Mickey Lolich
66,1969,8,15,4-1,Donn Clendenon
67,1970,15,3,4-1,Brooks Robinson
68,1971,10,15,4-3,Roberto Clemente
69,1972,25,3,4-3,Gene Tenace
70,1973,25,8,4-3,Reggie Jackson
71,1974,25,5,4-1,Rollie Fingers
72,1975,3,16,4-3,Pete Rose
73,1976,3,24,4-0,Johnny Bench
74,1977,24,5,4-2,Reggie Jackson
75,1978,24,5,4-2,Bucky Dent
76,1979,10,15,4-3,Wille Stargell
77,1980,9,21,4-2,Mike Schmidt
78,1981,5,24,4-2,Ron Cey/Pedro Guerrero/Steve Yeager
79,1982,13,7,4-3,Darrell Porter
80,1983,15,9,4-1,Rick Dempsey
81,1984,19,11,4-1,Alan Trammell
82,1985,21,13,4-3,Bret Saberhagen
83,1986,8,16,4-3,Ray Knight
84,1987,23,13,4-3,Frank Viola
85,1988,5,25,4-1,Orel Hershiser
86,1989,25,12,4-0,Dave Stewart
87,1990,3,25,4-0,Jose Rijo
88,1991,23,1,4-3,Jack Morris
89,1992,29,1,4-2,Pat Borders
90,1993,29,9,4-2,Paul Molitor
91,1994,-1,-1,-1,
92,1995,1,18,4-2,Tom Glavine
93,1996,24,1,4-2,John Wetteland
94,1997,6,18,4-3,Livan Hernadez
95,1998,24,11,4-0,Scott Brosius
96,1999,24,1,4-0,Mariano Rivera
97,2000,24,8,4-1,Derek Jeter
98,2001,0,24,4-3,Curt Schilling/Randy Johnson
99,2002,22,12,4-3,Troy Glaus
100,2003,6,24,4-2,Josh Beckett
101,2004,16,13,4-0,Manny Ramirez
102,2005,17,20,4-0,Jermaine Dye
103,2006,13,19,4-1,David Eckstein
104,2007,16,4,4-0,Mike Lowell
105,2008,9,27,4-1,Cole Hamels
106,2009,24,9,4-2,Hideki Matsui
107,2010,12,28,4-1,Edgar Renteria
108,2011,13,28,4-3,David Freese
109,2012,12,19,4-0,Pablo Sandoval
110,2013,16,13,4-2,David Ortiz